Unnamed: 0;show_date_x;Artist;Title;Album;Year_x;show_date_y;Year_y;exists
;;Portugal. The Man;Modern Jesus;Evil Friends;;Jan 15. 2023;2013;right_only
;;The Shins;Young Pilgrims;Chutes Too Narrow;;Jan 15. 2023;2003;right_only
;;Black Lips;Family Tree;Family Tree;;Jan 15. 2023;2011;right_only
;;Pavement;Stereo;Stereo;;Jan 15. 2023;2010;right_only
25576.0;1100;Violent Femmes;Blister In The Sun;Violent Femmes;1982;Jan 15. 2023;1996;both
;;The Raconteurs;Carolina Drama;Consolers of the Lonely;;Jan 15. 2023;2008;right_only
;;The Brian Jonestown Massacre;Going To Hell;Strung Out In Heaven;;Jan 15. 2023;1998;right_only
;;Hinds;Chili Town;Chili Town;;Jan 15. 2023;2015;right_only
;;Hole;Celebrity Skin;1;;Jan 15. 2023;2007;right_only
;;Yo La Tengo;Sugarcube;Sugarcube;;Jan 15. 2023;1997;right_only
;;The Psychedelic Furs;Pretty in Pink;Essential Rock - Definitive Rock Classics And Power Ballads;;Jan 15. 2023;2009;right_only
;;Purple Mountains;Darkness and Cold;Darkness and Cold;;Jan 15. 2023;2019;right_only
;;Sylvan Esso;PARAD(w/m)E;PARAD(w/m)E;;Jan 15. 2023;2018;right_only
4231.0;1100;The Breeders;Drivin' On 9;Last Splash;2010;Jan 15. 2023;2010;both
;;Parquet Courts;Everyday It Starts;Everyday It Starts;;Jan 15. 2023;2014;right_only
;;My Morning Jacket;Into The Woods;Z;;Jan 15. 2023;2005;right_only
;;Band Of Horses;Ode to LRC;Cease to Begin;;Jan 15. 2023;2007;right_only
;;Silversun Pickups;Growing Old Is Getting Old;Swoon;;Jan 15. 2023;2009;right_only
;;The White Stripes;I'm Slowly Turning Into You;I'm Slowly Turning Into You;;Jan 15. 2023;2007;right_only
;;Radiohead;Man of War;Man of War;;Jan 15. 2023;2017;right_only
;;Sufjan Stevens;Chicago;Illinois;;Jan 15. 2023;2005;right_only
;;The Rapture;Out Of The Races And Onto The Tracks (Album);Out Of The Races And Onto The Tracks;;Jan 15. 2023;2016;right_only
;;The Black Angels;Young Men Dead;Passover;;Jan 15. 2023;2008;right_only
;;Courtney Barnett;Elevator Operator;Sometimes I Sit and Think. and Sometimes I Just Sit;;Jan 15. 2023;2015;right_only
;;Adia Victoria;Dead Eyes;Beyond The Bloodhounds;;Jan 15. 2023;2016;right_only
;;Dr. Dog;That Old Black Hole;Be The Void;;Jan 15. 2023;2012;right_only
;;Vampire Weekend;Diane Young;Diane Young;;Jan 15. 2023;2013;right_only
;;Deerhunter;Don't Cry;Don't Cry;;Jan 12. 2023;2010;right_only
;;Radiohead;The Bends;The Best Of;;Jan 12. 2023;2008;right_only
;;Ty Segall;Imaginary Person;Melted;;Jan 12. 2023;2010;right_only
;;Guided By Voices;Underwater Explosions;Underwater Explosions;;Jan 12. 2023;1996;right_only
;;Diet Cig;Maid of the Mist;Swear I'm Good At This;;Jan 12. 2023;2017;right_only
;;The Exploding Hearts;Modern Kicks;Guitar Romantic;;Jan 12. 2023;2003;right_only
;;Parquet Courts;Wide Awake;Wide Awake;;Jan 12. 2023;2018;right_only
;;Vampire Weekend;Obvious Bicycle;Obvious Bicycle;;Jan 12. 2023;2013;right_only
;;The Brian Jonestown Massacre;The Way It Was;Bringing It All Back Home - Again;;Jan 12. 2023;2007;right_only
